-16,47,4.125
-15,47,5.125
-14,47,4.5
-13,47,5.75
-12,47,4.75
-11,47,5
-10,47,5.25
-9,47,5.625
-8,47,5.5
-7,47,4.375
-6,47,5.625
-5,47,4.75
-4,47,5.875
-3,47,4.625
-2,47,5.375
-1,47,4.625
0,47,6.25
1,47,5.25
2,47,4.625
3,47,3.25
4,47,3.25
5,47,3.5
6,47,4.25
7,47,5
8,47,5.5
9,47,4.5
10,47,4.625
11,47,4.125
12,47,4.125
13,47,4.25
14,47,3.375
15,47,2.5
16,47,4.375
17,47,4
18,47,5.625
19,47,4.375
20,47,3.25
21,47,4.25
22,47,3
23,47,4.875
24,47,4.125
25,47,3.75
26,47,2.5
27,47,2.25
28,47,3.875
29,47,4.375
30,47,7.125
31,47,5.25
32,47,4.75
33,47,4.375
34,47,3.625
35,47,5.5
36,47,4.75
37,47,6
38,47,5.375
39,47,5.5
40,47,5.375
41,47,5.25
42,47,4.625
43,47,5.625
44,47,6
45,47,6.125
46,47,6.25
47,47,5.125
48,47,5.125
49,47,4.875
50,47,5.375
-50,46,5.875
-49,46,5.75
-48,46,4.25
-47,46,4.875
-46,46,5.375
-45,46,6.75
-44,46,6
-43,46,5.625
-42,46,5.5
-41,46,4.75
-40,46,5.875
-39,46,3.75
-38,46,5.25
-37,46,4.25
-36,46,4.875
-35,46,5.375
-34,46,4.5
-33,46,4.5
-32,46,3.5
-31,46,4.875
-30,46,3.5
-29,46,4.875
-28,46,4.125
-27,46,5.25
-26,46,7.125
-25,46,6.125
-24,46,6.5
-23,46,5.375
-22,46,3.875
-21,46,4.125
-20,46,3.75
-19,46,5.75
-18,46,4.875
-17,46,3.875
-16,46,4.375
-15,46,3.25
-14,46,5
-13,46,4.75
-12,46,5
-11,46,6
-10,46,6.125
-9,46,5.375
-8,46,6.25
-7,46,4.875
-6,46,5.25
-5,46,3.875
-4,46,4.875
-3,46,3.375
-2,46,4.25
-1,46,2.875
0,46,4.375
1,46,3.5
2,46,3.75
3,46,3.125
4,46,3.5
5,46,2.75
6,46,4.5
7,46,5.125
8,46,5.625
9,46,5.625
10,46,4.5
11,46,5.375
12,46,4.5
13,46,3.375
14,46,2.25
15,46,3.25
16,46,5.125
17,46,3.875
18,46,4.25
19,46,2.25
20,46,2.625
21,46,3.75
22,46,4
23,46,4.375
24,46,4.5
